"rep","method","rr_obs","y_mean_bias","y_mean_abs_err","weight_var","min_weight","max_weight"
12,"standard",0.281333333333333,0.605916674055251,0.605916674055251,0.90704701999726,0.215587563340756,9.73499840323774
12,"constrained",0.281333333333333,0.607561802176767,0.607561802176767,0.914741553634404,0.281333333333333,9.84712665233187
12,"oracle_ipw",0.281333333333333,0.275902012719822,0.275902012719822,1.31224087622414,0.314486082037288,10.9296921569126
13,"unweighted",0.282,1.44178285083678,1.44178285083678,0,1,1
13,"standard",0.282,0.491040244274552,0.491040244274552,0.745161809611496,0.201544016000157,5.66843855896686
13,"constrained",0.282,0.491974274462496,0.491974274462496,0.75135849072206,0.282,5.7156796902583
13,"oracle_ipw",0.282,0.099469727440056,0.099469727440056,1.19576874122366,0.30222949559816,12.765441107572
14,"unweighted",0.276,1.33176566093795,1.33176566093795,0,1,1
14,"standard",0.276,0.367629133716864,0.367629133716864,0.663097781788302,0.251237280514537,7.64762555909608
14,"constrained",0.276,0.36785209887216,0.36785209887216,0.66405551030367,0.276,7.66466801625238
14,"oracle_ipw",0.276,-0.285751722033204,0.285751722033204,1.7457463658442,0.276022146558101,17.2629350911604
15,"unweighted",0.273,1.52069525166254,1.52069525166254,0,1,1
15,"standard",0.273,0.513790566887785,0.513790566887785,0.830170741281076,0.23199140252014,6.7380085890874
15,"constrained",0.273,0.514962503418864,0.514962503418864,0.833878648496722,0.273,6.77687542804543
15,"oracle_ipw",0.273,0.0531707892871431,0.0531707892871431,1.67839884076488,0.298656189268973,18.6785099464414
16,"unweighted",0.294,1.41670663484142,1.41670663484142,0,1,1
16,"standard",0.294,0.24914356386737,0.24914356386737,0.898457767719395,0.190674042619231,8.68353184246652
16,"constrained",0.294,0.252352886531426,0.252352886531426,0.914813463451115,0.294,8.90770224105134
16,"oracle_ipw",0.294,-0.169370228128874,0.169370228128874,1.32904572137082,0.297881396773675,18.630052992091
17,"unweighted",0.266,1.45629176974036,1.45629176974036,0,1,1
17,"standard",0.266,0.525248472540815,0.525248472540815,0.736566839526857,0.20406253316311,7.37901098858339
17,"constrained",0.266,0.52530137368048,0.52530137368048,0.740178678705097,0.266,7.43360605845729
17,"oracle_ipw",0.266,0.18927777779639,0.18927777779639,1.28040360754724,0.301644373610078,12.7407269734839
18,"unweighted",0.281666666666667,1.3764644340599,1.3764644340599,0,1,1
18,"standard",0.281666666666667,0.409165022993,0.409165022993,0.787723078006431,0.243949329544825,6.15035073930341
18,"constrained",0.281666666666667,0.40958009775862,0.40958009775862,0.790417550787838,0.281666666666667,6.17750374975814
18,"oracle_ipw",0.281666666666667,-0.0994312034456543,0.0994312034456543,1.64366386296371,0.293314680216624,18.3444421000407
19,"unweighted",0.285,1.40904474798501,1.40904474798501,0,1,1
19,"standard",0.285,0.413415692345282,0.413415692345282,0.790199290049515,0.206572779364832,6.36529603391853
19,"constrained",0.285,0.414306538188805,0.414306538188805,0.794529369017418,0.285,6.41748205035211
19,"oracle_ipw",0.285,-0.267867836359266,0.267867836359266,2.36966976017701,0.285339714477398,29.2459460152136
20,"unweighted",0.278666666666667,1.30500823278091,1.30500823278091,0,1,1
20,"standard",0.278666666666667,0.330920247940749,0.330920247940749,0.715223120930352,0.237701472405841,7.89658669962424
20,"constrained",0.278666666666667,0.331576630448693,0.331576630448693,0.717469014622739,0.278666666666667,7.93337675259876
20,"oracle_ipw",0.278666666666667,-0.269533464346071,0.269533464346071,1.52229770514194,0.268202452537069,11.3282213107369
21,"unweighted",0.285666666666667,1.40293530309846,1.40293530309846,0,1,1
21,"standard",0.285666666666667,0.504618986679729,0.504618986679729,0.715782430974535,0.228495736650456,6.16423606361605
21,"constrained",0.285666666666667,0.504787128526117,0.504787128526117,0.717870599962247,0.285666666666667,6.18779780008434
21,"oracle_ipw",0.285666666666667,0.0420746007242621,0.0420746007242621,1.20063467150004,0.294289195361501,10.2277668047178
22,"unweighted",0.278,1.20722692885661,1.20722692885661,0,1,1
22,"standard",0.278,0.294064838794858,0.294064838794858,0.608348253824211,0.227947533618381,6.11026601460691
22,"constrained",0.278,0.295852633789817,0.295852633789817,0.610753418629285,0.278,6.13844377027829
22,"oracle_ipw",0.278,-0.188171811962014,0.188171811962014,1.13575989034921,0.274397418907324,11.5898816698834
23,"unweighted",0.273666666666667,1.33857754655113,1.33857754655113,0,1,1
23,"standard",0.273666666666667,0.384204255600994,0.384204255600994,0.728560768659107,0.227869574233645,8.93895135053287
23,"constrained",0.273666666666667,0.384815984117489,0.384815984117489,0.731321947862069,0.273666666666667,8.99490373665386
23,"oracle_ipw",0.273666666666667,-0.167438333452181,0.167438333452181,1.56578699153008,0.280279506122678,17.5291982252584
24,"unweighted",0.282,1.50432049444667,1.50432049444667,0,1,1
24,"standard",0.282,0.62503289741718,0.62503289741718,0.834277613933774,0.189053814646451,10.9968054200561
24,"constrained",0.282,0.625192350537748,0.625192350537748,0.844174406750794,0.282,11.1920866608787
24,"oracle_ipw",0.282,0.326835273175097,0.326835273175097,1.25653801494915,0.309817598300705,19.3765650918104
