"rep","method","rr_obs","n_resp","undersample_ratio_11","y_mean_bias","y_mean_abs_err","y_pred_mae","cov_bias","cov_abs_err","p11_bias","p11_abs_err","weight_var","min_weight","max_weight"
347,"unweighted",0.3672,1836,0.0168547828985979,0.545001146130189,0.545001146130189,0.970154931109546,-0.117554149080635,0.117554149080635,-0.254162701525054,0.254162701525054,0,1,1
347,"oracle_ipw",0.3672,1836,0.0168547828985979,0.31963058514836,0.31963058514836,0.970154931109548,-0.0248877761804714,0.0248877761804714,-0.0822607200447045,0.0822607200447045,6.8182745122325,0.74910193981001,40.4515047497406
347,"oracle_joint",0.3672,1836,0.0168547828985979,0.243244865812799,0.243244865812799,0.970154931109543,-1.18922357527501e-07,1.18922357527501e-07,-1.88737914186277e-15,1.88737914186277e-15,14.8997397848376,0.692093538461539,59.33034
347,"standard",0.3672,1836,0.0168547828985979,0.89201057400518,0.89201057400518,0.97015493110954,-0.215947569537988,0.215947569537988,-0.215947450619234,0.215947450619234,0.706247317409023,0.217018102722724,9.77040008304024
347,"constrained",0.3672,1836,0.0168547828985979,0.71335394896425,0.71335394896425,0.970154931109553,-0.156480118922342,0.156480118922342,-0.156479999999962,0.156479999999962,2.39221022047521,0.3672,23.4181800000093
348,"unweighted",0.366,1830,0.016910044481872,0.524258153570532,0.524258153570532,0.940143538092005,-0.119766148978317,0.119766148978317,-0.254148415300546,0.254148415300546,0,1,1
348,"oracle_ipw",0.366,1830,0.016910044481872,0.257519039689738,0.257519039689738,0.940143538092,-0.0273043349537843,0.0273043349537843,-0.0815780190191228,0.0815780190191228,6.84907927157125,0.749545891655091,40.4754781493749
348,"oracle_joint",0.366,1830,0.016910044481872,0.154189999274898,0.154189999274898,0.940143538092,-1.1892235722219e-07,1.1892235722219e-07,2.72004641033163e-15,2.72004641033163e-15,14.8508256140011,0.672586,59.13645
348,"standard",0.366,1830,0.016910044481872,0.848124358904274,0.848124358904274,0.940143538091992,-0.216975719274618,0.216975719274618,-0.216975600355328,0.216975600355328,0.677153778352968,0.218838100512051,9.50328141884632
348,"constrained",0.366,1830,0.016910044481872,0.665520421853126,0.665520421853126,0.940143538092008,-0.15988011892232,0.15988011892232,-0.159879999999918,0.159879999999918,2.2335392881511,0.366,22.5639000000205
349,"unweighted",0.374,1870,0.0289595815257728,0.553277559026025,0.553277559026025,0.913870900475071,-0.120276527015926,0.120276527015926,-0.251033368983957,0.251033368983957,0,1,1
349,"oracle_ipw",0.374,1870,0.0289595815257728,-0.00262170689333607,0.00262170689333607,0.91387090047507,0.00393236483625479,0.00393236483625479,0.0107587177203832,0.0107587177203832,9.23067012328674,0.666073018699911,35.9679430097952
349,"oracle_joint",0.374,1870,0.0289595815257728,0.019522028361593,0.019522028361593,0.913870900475071,-1.18922357548318e-07,1.18922357548318e-07,-5.55111512312578e-17,5.55111512312578e-17,8.48664369482974,0.716223076923077,34.5308857142857
349,"standard",0.374,1870,0.0289595815257728,0.830574001498707,0.830574001498707,0.91387090047507,-0.203147421050529,0.203147421050529,-0.203147302128275,0.203147302128275,0.606098879343968,0.258948309986866,7.3962103585838
349,"constrained",0.374,1870,0.0289595815257728,0.655436741123801,0.655436741123801,0.91387090047507,-0.159280118922353,0.159280118922353,-0.159279999999995,0.159279999999995,1.30993844345091,0.374,13.2556285714295
350,"unweighted",0.3674,1837,0.0252684115964827,0.533355826529485,0.533355826529485,0.941752683791828,-0.12452553539961,0.12452553539961,-0.251987610234077,0.251987610234077,0,1,1
350,"oracle_ipw",0.3674,1837,0.0252684115964827,-0.089208533372072,0.089208533372072,0.941752683791833,-0.00889813584375055,0.00889813584375055,-0.0149647204359962,0.0149647204359962,8.66404466472066,0.690449149010924,37.2842540465899
350,"oracle_joint",0.3674,1837,0.0252684115964827,-0.138901514926476,0.138901514926476,0.94175268379183,-1.18922357336682e-07,1.18922357336682e-07,-2.44249065417534e-15,2.44249065417534e-15,9.79282468963945,0.686602101694914,39.5751033333333
350,"standard",0.3674,1837,0.0252684115964827,0.803102276599677,0.803102276599677,0.941752683791829,-0.209198283077554,0.209198283077554,-0.209198164155375,0.209198164155375,0.576912515064271,0.250745997713403,7.55035103722076
350,"constrained",0.3674,1837,0.0252684115964827,0.608944386716922,0.608944386716922,0.941752683791829,-0.166080118920969,0.166080118920969,-0.166079999996913,0.166079999996913,1.31421627160001,0.3674,14.1510233338542
351,"unweighted",0.3626,1813,0.0384043619162206,0.57113563592973,0.57113563592973,0.920277745278179,-0.123865971842363,0.123865971842363,-0.248591704357419,0.248591704357419,0,1,1
351,"oracle_ipw",0.3626,1813,0.0384043619162206,-0.174221471006785,0.174221471006785,0.920277745278185,0.0152928541046312,0.0152928541046312,0.071051671814078,0.071051671814078,10.4019746488835,0.614725762344566,33.1951911666065
351,"oracle_joint",0.3626,1813,0.0384043619162206,-0.0313799830257464,0.0313799830257464,0.920277745278185,-1.18922358589152e-07,1.18922358589152e-07,-6.16173778666962e-15,6.16173778666962e-15,6.29465245906352,0.671937411764707,26.0387088888889
351,"standard",0.3626,1813,0.0384043619162206,0.785148821874871,0.785148821874871,0.92027774527818,-0.197146725851441,0.197146725851441,-0.197146606929086,0.197146606929086,0.523007987007667,0.287699457026684,6.1816645354206
351,"constrained",0.3626,1813,0.0384043619162206,0.672217788892359,0.672217788892359,0.920277745278182,-0.169880118922362,0.169880118922362,-0.169879999999999,0.169879999999999,0.812041181075248,0.3626,8.92801777777788
352,"unweighted",0.3678,1839,0.0231375200802123,0.502769977285156,0.502769977285156,0.94267441128271,-0.12129839548258,0.12129839548258,-0.252538488308864,0.252538488308864,0,1,1
352,"oracle_ipw",0.3678,1839,0.0231375200802123,0.17991487144217,0.17991487144217,0.942674411282702,-0.010848037111024,0.010848037111024,-0.0306647736270347,0.0306647736270347,8.28684283029067,0.705430574578932,38.0932510272623
352,"oracle_joint",0.3678,1839,0.0231375200802123,0.139051261069189,0.139051261069189,0.942674411282709,-1.18922357936896e-07,1.18922357936896e-07,2.77555756156289e-16,2.77555756156289e-16,10.7365609869256,0.653037487922705,43.2198436363636
352,"standard",0.3678,1839,0.0231375200802123,0.819874212211735,0.819874212211735,0.942674411282701,-0.210007810343415,0.210007810343415,-0.210007691421508,0.210007691421508,0.627597367474492,0.242748815341811,8.11037595236575
352,"constrained",0.3678,1839,0.0231375200802123,0.666442791060378,0.666442791060378,0.942674411282703,-0.162680118918,0.162680118918,-0.162679999990272,0.162679999990272,1.5470021151281,0.3678,16.0227054563441
353,"unweighted",0.3696,1848,0.0355838395448484,0.539529043149291,0.539529043149291,0.93648846542255,-0.120934865217518,0.120934865217518,-0.249320865800866,0.249320865800866,0,1,1
353,"oracle_ipw",0.3696,1848,0.0355838395448484,-0.234756600714143,0.234756600714143,0.936488465422554,0.0144937553810783,0.0144937553810783,0.0542249800497986,0.0542249800497986,10.1168286955854,0.629578129773466,33.9972190077671
353,"oracle_joint",0.3696,1848,0.0355838395448484,-0.107386363398618,0.107386363398618,0.936488465422553,-1.18922358377516e-07,1.18922358377516e-07,-5.82867087928207e-15,5.82867087928207e-15,6.82726057756622,0.666973747954174,28.1026447058824
353,"standard",0.3696,1848,0.0355838395448484,0.747948716626536,0.747948716626536,0.93648846542255,-0.197706766595794,0.197706766595794,-0.197706647673468,0.197706647673468,0.567226897662852,0.278599645585467,6.61076912349685
353,"constrained",0.3696,1848,0.0355838395448484,0.600739779783755,0.600739779783755,0.936488465422555,-0.163680118922354,0.163680118922354,-0.163680000000002,0.163680000000002,0.987633536012095,0.3696,10.3096658823529
354,"unweighted",0.3568,1784,0.0477016809725453,0.40174698353095,0.40174698353095,0.913983244161568,-0.107914370879647,0.107914370879647,-0.246188161434978,0.246188161434978,0,1,1
354,"oracle_ipw",0.3568,1784,0.0477016809725453,-0.262697584335145,0.262697584335145,0.913983244161567,0.043599518082834,0.043599518082834,0.119877654056402,0.119877654056402,11.0100944713934,0.568233514172255,30.6846097653018
354,"oracle_joint",0.3568,1784,0.0477016809725453,-0.0222723937375495,0.0222723937375495,0.913983244161566,-1.18922357232598e-07,1.18922357232598e-07,-2.44249065417534e-15,2.44249065417534e-15,4.97941822151052,0.735729398907104,20.9636218181818
354,"standard",0.3568,1784,0.0477016809725453,0.643363293028264,0.643363293028264,0.913983244161568,-0.179416086224621,0.179416086224621,-0.179415967302274,0.179415967302274,0.649577423396084,0.298464254553018,6.41461792421599
354,"constrained",0.3568,1784,0.0477016809725453,0.55456052772414,0.55456052772414,0.913983244161567,-0.15548011891941,0.15548011891941,-0.155479999993358,0.155479999993358,0.890367903593371,0.3568,8.35560727332775
355,"unweighted",0.3678,1839,0.0315511637457441,0.516514090613779,0.516514090613779,0.914034265847722,-0.121418445596106,0.121418445596106,-0.25036339314845,0.25036339314845,0,1,1
355,"oracle_ipw",0.3678,1839,0.0315511637457441,-0.0761243567765316,0.0761243567765316,0.914034265847722,0.00733286419270432,0.00733286419270432,0.0287444918806951,0.0287444918806951,9.63682236911927,0.652196790825422,35.2186267045728
355,"oracle_joint",0.3678,1839,0.0315511637457441,-0.0231215643197871,0.0231215643197871,0.914034265847721,-1.18922357253415e-07,1.18922357253415e-07,1.83186799063151e-15,1.83186799063151e-15,7.75570299653315,0.667000460526315,31.694552
355,"standard",0.3678,1839,0.0315511637457441,0.758691233903347,0.758691233903347,0.914034265847722,-0.201492725941565,0.201492725941565,-0.201492607019267,0.201492607019267,0.581841097023299,0.267942548173928,6.99155837943973
355,"constrained",0.3678,1839,0.0315511637457441,0.613526329765084,0.613526329765084,0.914034265847721,-0.164080118922359,0.164080118922359,-0.164079999999998,0.164079999999998,1.10445133146245,0.3678,11.578344
356,"unweighted",0.373,1865,0.0352594828304985,0.555834852606965,0.555834852606965,0.918076650417538,-0.122770886900162,0.122770886900162,-0.24940471849866,0.24940471849866,0,1,1
356,"oracle_ipw",0.373,1865,0.0352594828304985,-0.132315510335431,0.132315510335431,0.91807665041754,0.0120053785230423,0.0120053785230423,0.0522422056109847,0.0522422056109847,10.0816522313803,0.63134151793517,34.0924419684992
356,"oracle_joint",0.373,1865,0.0352594828304985,-0.0297871853750852,0.0297871853750852,0.918076650417539,-1.18922357541379e-07,1.18922357541379e-07,4.16333634234434e-15,4.16333634234434e-15,6.89425289601146,0.6709132137031,28.3611647058824
356,"standard",0.373,1865,0.0352594828304985,0.78712656099989,0.78712656099989,0.918076650417539,-0.19902897349403,0.19902897349403,-0.19902885457169,0.19902885457169,0.548802733498129,0.278804340441727,6.5265286014005
356,"constrained",0.373,1865,0.0352594828304985,0.644499920096579,0.644499920096579,0.918076650417538,-0.164280118922358,0.164280118922358,-0.164280000000001,0.164280000000001,0.977737670264998,0.373,10.3386823529412
357,"unweighted",0.3652,1826,0.0211838591195412,0.528800976963764,0.528800976963764,0.931294380506617,-0.121589237303951,0.121589237303951,-0.253043548740416,0.253043548740416,0,1,1
357,"oracle_ipw",0.3652,1826,0.0211838591195412,0.00485533477076028,0.00485533477076028,0.931294380506611,-0.0162659956270335,0.0162659956270335,-0.0460070601521108,0.0460070601521108,7.87727681891917,0.718608570670819,38.8048628162242
357,"oracle_joint",0.3652,1826,0.0211838591195412,-0.104363360334743,0.104363360334743,0.931294380506614,-1.18922358266493e-07,1.18922358266493e-07,-3.44169137633799e-15,3.44169137633799e-15,11.7663333970829,0.66337647446458,47.205752
357,"standard",0.3652,1826,0.0211838591195412,0.820597896404459,0.820597896404459,0.931294380506608,-0.212360309678445,0.212360309678445,-0.21236019075681,0.21236019075681,0.632939575907067,0.235877592613766,8.42878116783346
357,"constrained",0.3652,1826,0.0211838591195412,0.606823012719937,0.606823012719937,0.931294380506619,-0.163280118801874,0.163280118801874,-0.163279999731306,0.163279999731306,1.66831686559112,0.3652,17.390824054228
358,"unweighted",0.3686,1843,0.025186148726391,0.573783081045004,0.573783081045004,0.925089340695869,-0.125342201518443,0.125342201518443,-0.252008876831253,0.252008876831253,0,1,1
358,"oracle_ipw",0.3686,1843,0.025186148726391,-0.0014791814214592,0.0014791814214592,0.925089340695871,-0.010148053232312,0.010148053232312,-0.0153010699168772,0.0153010699168772,8.66910222929837,0.691747666887654,37.3543740119333
358,"oracle_joint",0.3686,1843,0.025186148726391,-0.0499844048157775,0.0499844048157775,0.925089340695869,-1.18922359050588e-07,1.18922359050588e-07,-5.10702591327572e-15,5.10702591327572e-15,9.82763550026363,0.662998955954323,39.7043633333333
358,"standard",0.3686,1843,0.025186148726391,0.803506886307535,0.803506886307535,0.925089340695867,-0.209769481039911,0.209769481039911,-0.209769362117735,0.209769362117735,0.569355507761045,0.251496156470836,7.48728546809053
