"target_rr","rep","K","method","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
0.3,50,20,"standard",0.308142857142857,2.01885014990771,0.0742014929512905,15.5818345636959,0.0139696078369251,-0.0116301099801831,0.0490788154942718,0.0490788154942718,0.106724286179213,1.02292670206133
0.3,50,20,"constrained",0.308142857142857,2.30372809290518,0.308142857142857,17.1772767599881,0.0118993975866403,-0.00904003463939063,0.0611644964667741,0.0611644964667741,0.113436935093377,1.0248866815255
0.3,50,25,"standard",0.308142857142857,2.05440807182409,0.0637223536279521,14.3898748072494,0.0123209419400682,-0.00846110322964231,0.018791986209326,0.018791986209326,0.0783690732447437,0.998772067987158
0.3,50,25,"constrained",0.308142857142857,2.38904311502543,0.308142857142857,16.4652228065187,0.0108540982045382,-0.00614796991497559,0.030901842308638,0.030901842308638,0.0873879496021461,1.0013113390903
0.3,51,8,"standard",0.301285714285714,1.73666571900066,0.21481667053773,16.1453721748131,0.0164204943423813,-0.0164204943423813,0.368960499798794,0.368960499798794,0.408950519717249,1.50990803125059
0.3,51,8,"constrained",0.301285714285714,1.82842236487102,0.301285714285714,17.0444682038528,0.0132045598998925,-0.0131715899361254,0.3745531539401,0.3745531539401,0.407316615418163,1.51056283630651
0.3,51,12,"standard",0.301285714285714,1.85308391938473,0.142592565945161,15.9359755299261,0.0148913151182548,-0.0134569591695126,0.18512604443175,0.18512604443175,0.208430740980643,1.26395158445333
0.3,51,12,"constrained",0.301285714285714,2.00178326137027,0.301285714285714,17.1807961874139,0.0120995813403765,-0.0102674960019907,0.192042341829938,0.192042341829938,0.210522137743225,1.26511371545055
0.3,51,16,"standard",0.301285714285714,1.88801332686816,0.117981214558218,14.9934794590841,0.0133619213881567,-0.0124493289040867,0.0589883392519823,0.0589883392519823,0.079957637831,1.08489642309383
0.3,51,16,"constrained",0.301285714285714,2.05904374267113,0.301285714285714,16.6001405592396,0.0110201176132508,-0.00958678739589836,0.0643636834175592,0.0643636834175592,0.0818937537591131,1.08575888665424
0.3,51,20,"standard",0.301285714285714,1.90491025739445,0.105654375707605,14.6449595080637,0.0117652861305903,-0.0101564093986798,0.0273232203588574,0.0273232203588574,0.0514735099442982,1.01570476683168
0.3,51,20,"constrained",0.301285714285714,2.08149709897042,0.301285714285714,15.7165125043673,0.0101428986331778,-0.00791915083945268,0.0338147921056988,0.0338147921056988,0.0538150932922284,1.01647491761155
0.3,51,25,"standard",0.301285714285714,1.91578860967074,0.0874691764162582,13.6323413970199,0.0104636385092142,-0.00795282288783456,1.85020942105041e-05,1.85020942105041e-05,0.0278879354596047,0.992740667218727
0.3,51,25,"constrained",0.301285714285714,2.1220183869758,0.301285714285714,14.674525580211,0.00919824666806616,-0.00609416271265466,0.00583813569423253,0.00583813569423253,0.0305227834133263,0.994381610234271
0.3,52,8,"standard",0.299857142857143,2.16559091338313,0.211850459697154,18.585817966586,0.0126392359000043,-0.0126314382199173,0.278113613140901,0.278113613140901,0.256857524779029,1.47094575600185
0.3,52,8,"constrained",0.299857142857143,2.31188674176353,0.299857142857143,19.837044139066,0.00914643588942539,-0.00850562318140871,0.276459474698119,0.276459474698119,0.254634854317317,1.47126185280811
0.3,52,12,"standard",0.299857142857143,2.23410021898855,0.130243936569437,21.0244436204785,0.0125611515045265,-0.0101892037290929,0.145814930749384,0.145814930749384,0.113770423807616,1.24770116884859
0.3,52,12,"constrained",0.299857142857143,2.44656970869251,0.299857142857143,23.3356823912591,0.00986373959148873,-0.0066984438884602,0.148476052814779,0.148476052814779,0.117791187694778,1.24912635175703
0.3,52,16,"standard",0.299857142857143,2.26471545719528,0.109198832681689,19.051797143338,0.0111038124191118,-0.00651787872186074,0.0945318008403282,0.0945318008403282,0.0859176295102363,1.08560336334434
0.3,52,16,"constrained",0.299857142857143,2.47822760373564,0.299857142857143,20.8517954780145,0.00962001367047944,-0.00366612751810067,0.102389795178478,0.102389795178478,0.0904220067905215,1.08693049544206
0.3,52,20,"standard",0.299857142857143,2.29327998002109,0.101156655366343,19.1648740160787,0.0102380993251806,-0.00441566875867051,0.0728355327315207,0.0728355327315207,0.0639890995888742,1.02256612089568
0.3,52,20,"constrained",0.299857142857143,2.51680205612882,0.299857142857143,21.0120666219484,0.00938030400391687,-0.00208040757027539,0.0810588752588117,0.0810588752588117,0.0670945060451502,1.02412210159677
0.3,52,25,"standard",0.299857142857143,2.32914303826317,0.0896737232921461,17.5857962483957,0.00899100266492464,-0.00321083176378734,0.0565029199679588,0.0565029199679588,0.0494536818471617,1.00327578237552
0.3,52,25,"constrained",0.299857142857143,2.56741941705615,0.299857142857143,19.0204499198343,0.00846353121463227,-0.00122160773158117,0.0655081275758658,0.0655081275758658,0.0525650978000342,1.00542961061641
0.3,53,8,"standard",0.299714285714286,1.85090776932027,0.190292495052022,13.3599058820354,0.0224037023633406,-0.0224037023633406,0.345109273787461,0.345109273787461,0.361704254644017,1.48749196458689
0.3,53,8,"constrained",0.299714285714286,1.98627915969602,0.299714285714286,14.2205493250088,0.0182543279837964,-0.0181604836824951,0.354984025570825,0.354984025570825,0.363997034272796,1.48885091512657
0.3,53,12,"standard",0.299714285714286,1.94226775969812,0.134432243643098,15.0842314416128,0.0153474642758733,-0.0149314051661294,0.201097683574584,0.201097683574584,0.211666674606008,1.25044019493949
0.3,53,12,"constrained",0.299714285714286,2.13652807483266,0.299714285714286,16.7600818956037,0.0123371852984878,-0.0112277963426127,0.211864050217893,0.211864050217893,0.214966050223615,1.25124648283939
0.3,53,16,"standard",0.299714285714286,1.97067892522779,0.121381638831395,15.1112297679225,0.01265537784115,-0.0115629244296082,0.143662693164913,0.143662693164913,0.165027306367001,1.09333656728939
0.3,53,16,"constrained",0.299714285714286,2.17567309323036,0.299714285714286,16.7219046045237,0.0104081221864771,-0.00851576004724341,0.155135591225664,0.155135591225664,0.166097900584532,1.09417577218088
0.3,53,20,"standard",0.299714285714286,1.96880673310054,0.114312751917839,14.8762842795021,0.0114035172377038,-0.00805330919614251,0.131672836273966,0.131672836273966,0.151495617877403,1.03371328454388
0.3,53,20,"constrained",0.299714285714286,2.17370084024112,0.299714285714286,16.3228039733315,0.00993828481059066,-0.00576843880775489,0.142877714872964,0.142877714872964,0.15094779462157,1.03489484770819
0.3,53,25,"standard",0.299714285714286,1.97599387193503,0.101737517417111,15.2710792392985,0.0101306506698831,-0.00677069571893573,0.128076410036749,0.128076410036749,0.146318551677448,1.01849584513675
0.3,53,25,"constrained",0.299714285714286,2.18791843192008,0.299714285714286,16.6184131772159,0.00912910894820985,-0.00490693203437122,0.141724334105371,0.141724334105371,0.146148355411791,1.02113753971901
0.3,54,8,"standard",0.285857142857143,2.04113660064689,0.20606221097061,18.9777978422843,0.0161505642356775,-0.0161285727090294,0.304290353049057,0.304290353049057,0.283376628573699,1.47710349776329
0.3,54,8,"constrained",0.285857142857143,2.14588050778704,0.285857142857143,19.999743956463,0.0133117374521822,-0.0130045006298922,0.311744857114634,0.311744857114634,0.28561095505434,1.47761757679607
0.3,54,12,"standard",0.285857142857143,2.10363953721802,0.137618686158163,20.4883346642201,0.0142363600377773,-0.0126022825743984,0.175867073685971,0.175867073685971,0.151919235015007,1.24425788688743
0.3,54,12,"constrained",0.285857142857143,2.25423577195826,0.285857142857143,22.1292792364173,0.0122568572223135,-0.00990197853029964,0.18568671306031,0.18568671306031,0.15880133149315,1.24424312443213
0.3,54,16,"standard",0.285857142857143,2.20806198469536,0.108766306301257,18.8770369002599,0.0127670718066435,-0.0116587534972199,0.0577826246633739,0.0577826246633739,0.0490515568242228,1.07919595386726
0.3,54,16,"constrained",0.285857142857143,2.40522220841556,0.285857142857143,20.4938166629862,0.0108641535522647,-0.00903213104812758,0.0679199367025047,0.0679199367025047,0.0545606384990079,1.07989625412616
0.3,54,20,"standard",0.285857142857143,2.19717422393067,0.0878603677396506,19.0219964651211,0.0116267291659699,-0.00973268027760874,0.0321640568727224,0.0321640568727224,0.0199683576002431,1.01328141692354
0.3,54,20,"constrained",0.285857142857143,2.4055969397295,0.285857142857143,20.4721949156944,0.0102187555651757,-0.00772179494896188,0.0426690078764871,0.0426690078764871,0.0270506728403739,1.01316579514228
0.3,54,25,"standard",0.285857142857143,2.19352873423691,0.0768802943285081,20.6588420786094,0.0112190536135947,-0.00903886703445797,0.00388076419429684,0.00388076419429684,-0.0172871987435673,0.990594726446659
0.3,54,25,"constrained",0.285857142857143,2.42829343345727,0.285857142857143,23.6217439764746,0.01015259229629,-0.00729823717497477,0.0132601693453847,0.0132601693453847,-0.00997076510752551,0.991240032626229
0.3,55,8,"standard",0.296142857142857,2.27378598213703,0.207795337225139,19.4332265059556,0.0127597895248476,-0.0123102964225759,0.37127732428774,0.37127732428774,0.368260248075163,1.48666071461483
0.3,55,8,"constrained",0.296142857142857,2.42041136620578,0.296142857142857,20.6265910861946,0.00935392734069549,-0.00843504981109718,0.379457743079394,0.379457743079394,0.371462096796333,1.48727711499569
0.3,55,12,"standard",0.296142857142857,2.3908908173574,0.150270348271162,20.4349700362529,0.0122865551928702,-0.0110971635326618,0.172567446623516,0.172567446623516,0.142141533867889,1.24007196571925
0.3,55,12,"constrained",0.296142857142857,2.59709306252067,0.296142857142857,21.8728517533673,0.0096074276490466,-0.00751026331009532,0.177837289783922,0.177837289783922,0.145560175930161,1.24054186342502
0.3,55,16,"standard",0.296142857142857,2.40129259162267,0.136102315586748,23.4839005813496,0.0100513629580435,-0.00786097954194239,0.107023627253867,0.107023627253867,0.0771037186183368,1.0726212788843
