"method","K","weight_var_mean","weight_var_median","weight_var_sd","cov_mae_x_mean","cov_mae_x_median","cov_mae_x_sd","y_mean_abs_err_mean","y_mean_abs_err_median","y_mean_abs_err_sd","y_pred_mae_mean","y_pred_mae_median","y_pred_mae_sd","margin_max_abs_err_mean","margin_max_abs_err_median","margin_max_abs_err_sd","min_weight_mean","min_weight_median","min_weight_sd","max_weight_mean","max_weight_median","max_weight_sd"
"constrained",9,2.24440409469841,2.21535357179339,0.267282889590149,0.0116189681841303,0.0117303420366748,0.00241259505144255,0.238898108449752,0.241213685648348,0.0737251390925727,1.39196383555054,1.38876719964275,0.0146208386053166,1.4624289890186e-09,1.46988904381473e-09,3.33259430861652e-10,0.300031428571429,0.299928571428571,0.00610755587069551,19.7771437535618,19.3759456743194,3.59708400478391
"standard",9,2.04675028769749,2.0363351762342,0.209997274758537,0.0157746643474009,0.016008518478007,0.00320256235473311,0.23073784144925,0.232558484631701,0.0715544947296698,1.39092341320519,1.38769281156744,0.0143283511760991,3.30039900964252e-11,4.17987866541125e-12,9.19607663140084e-11,0.160957039859622,0.161160530511367,0.0139138254467625,17.9204417644202,17.5367666380459,2.85537453191181
"constrained",10,2.30792355103329,2.28437891573028,0.277666732473084,0.0108351181725421,0.0109366014480961,0.00231465704526686,0.18151336519355,0.183176909920034,0.0674159396858908,1.32057807629703,1.31766132234802,0.0130030054796993,1.43488385784263e-09,1.4000554604543e-09,3.30845799041769e-10,0.300031428571429,0.299928571428571,0.00610755587069551,20.9514454196912,20.7340379232381,3.70577414960855
"standard",10,2.09089652016528,2.06414197280451,0.21762192181583,0.0146807620419597,0.0148065327160596,0.0031191519261618,0.172736578302478,0.174376545769762,0.0653307547734665,1.31957482119925,1.31727307469756,0.0127146311306916,5.2518195348128e-11,4.87443418961675e-12,1.76952260547826e-10,0.146783872931879,0.14571671110644,0.0144667239158265,18.8412083300896,18.6419366385745,2.95494102893465
"constrained",11,2.31342025457179,2.28593842392654,0.274695152241075,0.0103303397823388,0.0103053639863617,0.00201092323046515,0.195547449087984,0.197953547250636,0.0668053526411851,1.28558066890296,1.28375567533661,0.0124240433539512,1.43466920399238e-09,1.3461350645283e-09,3.12807922869072e-10,0.300031428571429,0.299928571428571,0.00610755587069551,21.1489524741634,20.847879797909,3.65456515652824
"standard",11,2.09452201495292,2.06609056637526,0.215867167816694,0.0135772968413579,0.0137294442022029,0.00267835996242716,0.186954437048177,0.189261899630931,0.0645480442423913,1.28458710425719,1.28316653336863,0.0122238537537285,5.80536141381316e-11,5.1645354659513e-12,1.91258246310674e-10,0.138227255589847,0.137213242363386,0.0145779728512089,19.0073138189355,18.7194836918622,2.93804228343715
"constrained",12,2.34940660544161,2.33224441833993,0.284001557804041,0.0100644411250155,0.0101370674864457,0.0018256348345878,0.164030765690091,0.166840621516283,0.0632119359649432,1.24530032931764,1.24307000700524,0.0116352285738865,1.436182677228e-09,1.46781103937954e-09,2.89203205094211e-10,0.300031428571429,0.299928571428571,0.00610755587069551,21.7101077214013,21.3712066359664,4.07694229655394
"standard",12,2.1187182031564,2.10024244976457,0.220980031849245,0.0130627649780599,0.0129156889664653,0.00246030687616935,0.155403296697437,0.156883888889865,0.0606966598691561,1.24417802651102,1.2424177823351,0.0113320960016719,6.33487606815919e-11,5.64576163597508e-12,1.99794603378983e-10,0.129327899069119,0.128367557278021,0.0142438757671797,19.4290392799533,19.0729576556111,3.30432909961841
"constrained",13,2.37116489688384,2.35659860151794,0.287092635188295,0.0097307156820002,0.00971494391275992,0.00166179301840238,0.142662586176481,0.148365924843569,0.0613557550116639,1.19866220968227,1.19559529421658,0.0107016932066792,1.37731078708736e-09,1.36728542377007e-09,3.36665648555155e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.36706018861,21.846030972819,4.19641629015847
"standard",13,2.13304926306252,2.11372629418553,0.222467222041547,0.0124511930602623,0.0123810411010622,0.00223465212831567,0.13396195900606,0.139444230022733,0.0589263538151274,1.19755743239661,1.19488872307077,0.0104815022238216,7.20913373442045e-11,5.97394356205427e-12,2.43958226740839e-10,0.12485512927335,0.125599894428775,0.0140029093503538,19.9524844885138,19.7649425303688,3.36721193468336
"constrained",14,2.38680554240457,2.36174162528161,0.292359786624972,0.00948089600525653,0.00942792548912079,0.00156154576588641,0.123882111973475,0.125970952091109,0.0576586328845294,1.14622248149535,1.14396515341605,0.00991915372075994,1.38145814898571e-09,1.3084621997006e-09,3.45149166858156e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.5824575689147,21.7968949370823,4.43839620294044
